KABKOT,RLS_2017
PENAJAM PASER UTARA,7.95
TANA TIDUNG,-
MAHAKAM ULU,7.68
KOTA BALIKPAPAN,10.55
KOTA SAMARINDA,10.34
KOTA TARAKAN,-
KOTA BONTANG,10.7
MALINAU,8.88
BULONGAN,8.75
TANA TIDUNG,8.23
NUNUKAN,7.65
KOTA TARAKAN,9.93
BOLAANG MONGONDOW,7.38
MINAHASA,9.55
KEPULAUAN SANGIHE,7.89
KEPULAUAN TALAUD,8.93
MINAHASA SELATAN,8.72
MINAHASA UTARA,9.32
BOLAANG MONGONDOW UTARA,7.86
SIAU TAGULANDANG BIARO,8.56
MINAHASA TENGGARA,8.51
BOLAANG MONGONDOW SELATAN,7.72
BOLAANG MONGONDOW TIMUR,7.53
KOTA MANADO,11.03
KOTA BITUNG,9.64
KOTA TOMOHON,10.24
KOTA KOTAMOBAGU,9.98
BANGGAI KEPULAUAN,7.99
BANGGAI,7.92
MOROWALI,8.73
POSO,8.81
DONGGALA,7.84
TOLI-TOLI,7.85
BUOL,8.63
PARIGI MOUTONG,6.98
TOJO UNA-UNA,7.9
SIGI,8.22
BANGGAI LAUT,8.21
MOROWALI UTARA,8.39
KOTA PALU,11.26
KEPULAUAN SELAYAR,7.18
BULUKUMBA,7.16
BANTAENG,6.45
JENEPONTO,5.98
TAKALAR,6.77
GOWA,7.74
SINJAI,7.28
MAROS,7.42
PANGKAJENE DAN KEPULAUAN,7.48
BARRU,7.85
BONE,6.77
SOPPENG,7.42
WAJO,6.78
SIDENRENG RAPPANG,7.52
PINRANG,7.54
ENREKANG,8.43
LUWU,7.89
TANA TORAJA,7.93
LUWU UTARA,7.52
LUWU TIMUR,8.2
TORAJA UTARA,7.73
KOTA MAKASSAR,11.08
KOTA PARE-PARE,10.09
KOTA PALOPO,10.33
BUTON,7.22
MUNA,7.89
KONAWE,8.77
KOLAKA,8.31
KONAWE SELATAN,7.72
BOMBANA,7.53
WAKATOBI,7.71
KOLAKA UTARA,7.5
BUTON UTARA,8.18
KONAWE UTARA,8.62
KOLAKA TIMUR,6.9
KONAWE KEPULAUAN,8.9
MUNA BARAT,6.48
BUTON TENGAH,7.02
BUTON SELATAN,7.06
KOTA KENDARI,11.68
KOTA BAU-BAU,9.9
BOALEMO,6.38
GORONTALO,6.81
POHUWATO,6.84
BONE BOLANGO,7.84
GORONTALO UTARA,6.68
KOTA GORONTALO,10.32
MAJENE,8.14
POLEWALI MANDAR,7.09
MAMASA,7.1
MAMUJU,7.26
MAMUJU UTARA,7.48
MAMUJU TENGAH,7.13
MALUKU TENGGARA BARAT,9.18
MALUKU TENGGARA,9.27
MALUKU TENGAH,9.29
BURU,7.99
KEPULAUAN ARU,8.4
SERAM BAGIAN BARAT,8.47
SERAM BAGIAN TIMUR,7.84
MALUKU BARAT DAYA,7.99
BURU SELATAN,7.13
KOTA AMBON,11.65
KOTA TUAL,9.87
HALMAHERA BARAT,7.87
HALMAHERA TENGAH,8.37
KEPULAUAN SULA,8.33
HALMAHERA SELATAN,7.43
HALMAHERA UTARA,8.36
HALMAHERA TIMUR,7.89
PULAU MOROTAI,6.89
PULAU TALIABU,7.43
KOTA TERNATE,11.25
KOTA TIDORE KEPULAUAN,9.39
FAKFAK,8.27
KAIMANA,7.9
TELUK WONDAMA,6.67
TELUK BINTUNI,7.62
MANOKWARI,7.92
SORONG SELATAN,7.01
SORONG,7.61
RAJA AMPAT,7.57
TAMBRAUW,4.81
MAYBRAT,6.43
MANOKWARI SELATAN,6.37
PEGUNUNGAN ARFAK,4.91
KOTA SORONG,10.92
MERAUKE,8.27
JAYAWIJAYA,4.99
JAYAPURA,9.54
NABIRE,9.49
KEPULAUAN YAPEN,8.82
BIAK NUMFOR,9.85
PANIAI,3.94
PUNCAK JAYA,3.5
MIMIKA,9.54
BOVEN DIGOEL,8.08
MAPPI,6.1
ASMAT,4.71
YAHUKIMO,4
PEGUNUNGAN BINTANG,2.32
TOLIKARA,3.5
SARMI,8.34
KEEROM,7.57
WAROPEN,8.67
SUPIORI,8.14
MAMBERAMO RAYA,5.23
NDUGA,0.71
LANNY JAYA,3.17
MAMBERAMO TENGAH,2.67
YALIMO,2.25
PUNCAK,1.94
DOGIYAI,4.9
INTAN JAYA,2.5
DEIYAI,2.98
KOTA JAYAPURA,11.15
